beat,year,stops
1622,2020,433
1622,2021,734
1623,2015,263
1623,2016,581
1623,2017,985
1623,2018,1589
1623,2019,1280
1623,2020,482
1623,2021,1179
1624,2015,309
1624,2016,493
1624,2017,723
1624,2018,1034
1624,2019,1055
1624,2020,477
1624,2021,1300
1631,2015,141
1631,2016,171
1631,2017,446
1631,2018,546
1631,2019,543
1631,2020,233
1631,2021,419
1632,2015,228
1632,2016,434
1632,2017,591
1632,2018,486
1632,2019,664
1632,2020,324
1632,2021,725
1633,2015,218
1633,2016,422
1633,2017,745
1633,2018,925
1633,2019,1163
1633,2020,589
1633,2021,1166
1634,2015,221
1634,2016,568
1634,2017,556
1634,2018,781
1634,2019,1021
1634,2020,503
1634,2021,1205
1651,2015,10
1651,2016,71
1651,2017,52
1651,2018,956
1651,2019,1368
1651,2020,504
1651,2021,124
1652,2015,1
1652,2016,2
1652,2017,2
1652,2018,78
1652,2019,54
1652,2020,13
1652,2021,4
1653,2015,1
1653,2016,7
1653,2017,5
1653,2018,85
1653,2019,106
1653,2020,18
1653,2021,10
1654,2015,1
1654,2016,28
1654,2017,29
1654,2018,143
1654,2019,144
1654,2020,25
1654,2021,137
1655,2015,1
1655,2016,2
1655,2017,1
1655,2018,54
1655,2019,237
1655,2020,47
1655,2021,33
1711,2015,42
1711,2016,135
1711,2017,163
1711,2018,418
1711,2019,581
1711,2020,294
1711,2021,1050
1712,2015,176
1712,2016,419
1712,2017,498
1712,2018,1383
1712,2019,1632
1712,2020,1637
1712,2021,2749
1713,2015,80
1713,2016,322
1713,2017,277
1713,2018,734
1713,2019,1184
1713,2020,773
1713,2021,997
1722,2015,137
1722,2016,387
1722,2017,568
1722,2018,1016
1722,2019,1161
1722,2020,802
1722,2021,1828
1723,2015,195
1723,2016,592
1723,2017,774
1723,2018,2024
1723,2019,2708
1723,2020,2084
1723,2021,3563
1724,2015,167
1724,2016,320
1724,2017,343
1724,2018,797
1724,2019,1184
1724,2020,745
1724,2021,1655
1731,2015,143
1731,2016,388
1731,2017,391
1731,2018,838
1731,2019,1000
1731,2020,420
1731,2021,617
1732,2015,213
1732,2016,415
1732,2017,397
1732,2018,794
1732,2019,1036
1732,2020,528
1732,2021,1143
1733,2015,88
1733,2016,306
1733,2017,312
1733,2018,721
1733,2019,1142
1733,2020,711
1733,2021,1330
1811,2015,291
1811,2016,271
1811,2017,374
1811,2018,474
1811,2019,770
1811,2020,316
1811,2021,434
1812,2015,321
1812,2016,233
